
세계기후평년값
[검색조건]
검색구분 : 월별평년값
, 지점명 : 전체
, 기간 : 1990년대 00월
국가,지점명,지점번호,시작년도,종료년도,월,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),일조시간(hr)
호주,ST 조지 에어포트,94517,1998,2010,1,      28.6,      34.8,      21.9,      71.0,
호주,ST 조지 에어포트,94517,1998,2010,2,      27.3,      33.6,      21.1,      53.0,
호주,ST 조지 에어포트,94517,1998,2010,3,      25.3,      32.1,      18.6,      35.0,
호주,ST 조지 에어포트,94517,1998,2010,4,      21.0,      28.0,      13.9,      19.0,
호주,ST 조지 에어포트,94517,1998,2010,5,      16.1,      23.4,       8.8,      28.0,
호주,ST 조지 에어포트,94517,1998,2010,6,      12.9,      19.8,       6.5,      31.0,
호주,ST 조지 에어포트,94517,1998,2010,7,      12.3,      19.5,       5.1,      32.0,
호주,ST 조지 에어포트,94517,1998,2010,8,      14.3,      22.0,       6.6,      26.0,
호주,ST 조지 에어포트,94517,1998,2010,9,      18.7,      26.5,      11.0,      29.0,
호주,ST 조지 에어포트,94517,1998,2010,10,      22.3,      29.5,      14.6,      43.0,
호주,ST 조지 에어포트,94517,1998,2010,11,      25.0,      31.3,      18.0,      64.0,
호주,ST 조지 에어포트,94517,1998,2010,12,      26.3,      33.6,      20.2,      56.0,
인도네시아,게세르,97748,1995,2008,1,      29.2,,,     169.0,
인도네시아,게세르,97748,1995,2008,6,      27.5,,,     284.0,     154.0
인도네시아,게세르,97748,1995,2008,7,      27.1,,,     161.0,     151.0
인도네시아,게세르,97748,1995,2009,7,      27.1,      30.0,      21.5,     161.0,     149.0
인도네시아,게세르,97748,1995,2010,6,      27.5,,,     288.0,     186.0
인도네시아,게세르,97748,1995,2010,7,      27.1,,,     276.0,     148.0
인도네시아,게세르,97748,1995,2010,10,      28.9,,,     150.0,     197.0
인도네시아,게세르,97748,1995,2010,11,      28.8,,,     123.0,     199.0
인도네시아,게세르,97748,1995,2012,4,      28.7,      32.0,      22.6,     260.0,     165.0
인도네시아,게세르,97748,1995,2012,9,      27.7,      30.7,      22.3,     136.0,     172.0
인도네시아,게세르,97748,1995,2012,10,      28.8,      32.0,      22.5,     147.0,     200.0
인도네시아,게세르,97748,1995,2012,12,      29.1,      32.8,      22.9,     219.0,     179.0
인도네시아,게세르,97748,1995,2013,1,      28.9,      32.6,      22.7,     185.0,     168.0
인도네시아,게세르,97748,1995,2013,4,      28.6,      31.9,      22.7,     236.0,     164.0
인도네시아,게세르,97748,1995,2013,7,      26.9,      29.8,      21.3,     205.0,     145.0
인도네시아,게세르,97748,1995,2013,8,      27.9,      31.1,      22.6,     158.0,     166.0
인도네시아,게세르,97748,1995,2013,9,      27.7,      30.6,      22.5,     136.0,     167.0
인도네시아,게세르,97748,1995,2013,10,      28.7,      31.9,      22.6,     148.0,     209.0
인도네시아,게세르,97748,1995,2013,12,      29.0,      32.8,      23.0,     212.0,     179.0
인도네시아,게세르,97748,1995,2014,1,      27.3,,,     192.0,     165.0
인도네시아,게세르,97748,1995,2014,2,      28.7,      32.6,      23.0,     168.0,     156.0
인도네시아,게세르,97748,1995,2014,3,      28.8,      32.3,      23.2,     175.0,     185.0
인도네시아,게세르,97748,1995,2014,4,      28.6,      31.9,      22.9,     257.0,     163.0
인도네시아,게세르,97748,1995,2014,6,      27.4,      30.3,      22.6,     272.0,     142.0
인도네시아,게세르,97748,1995,2014,7,      26.9,      29.9,      22.4,,     146.0
인도네시아,게세르,97748,1995,2014,8,      27.8,      31.0,      22.8,     153.0,     165.0
인도네시아,게세르,97748,1995,2014,9,      29.1,      32.2,      23.8,     130.0,     167.0
인도네시아,게세르,97748,1995,2014,10,      28.6,      31.9,      22.8,,     210.0
인도네시아,게세르,97748,1995,2014,11,      28.7,      31.9,      23.0,     115.0,     205.0
인도네시아,게세르,97748,1995,2014,12,      31.3,      32.8,      23.1,     137.0,     313.0
인도네시아,게세르,97748,1995,2015,1,      28.8,      32.5,      23.0,     191.0,     164.0
인도네시아,게세르,97748,1995,2015,2,      28.6,      32.4,      23.0,    1691.0,     156.0
인도네시아,게세르,97748,1995,2015,3,      28.8,      32.3,      23.3,    1731.0,     186.0
인도네시아,게세르,97748,1995,2015,5,      28.2,      31.2,      21.7,     282.0,     165.0
인도네시아,게세르,97748,1995,2015,6,      27.3,      30.3,      22.7,     265.0,     143.0
호주,그림 곶 기준 대기 오염 기지,94954,1997,2010,1,      16.1,      19.0,      13.2,      24.0,
호주,그림 곶 기준 대기 오염 기지,94954,1997,2010,2,      17.0,      19.8,      13.9,      31.0,
호주,그림 곶 기준 대기 오염 기지,94954,1997,2010,3,      15.6,      18.5,      12.8,      41.0,
호주,그림 곶 기준 대기 오염 기지,94954,1997,2010,4,      14.1,      16.6,      11.4,      50.0,
호주,그림 곶 기준 대기 오염 기지,94954,1997,2010,5,      12.4,      14.7,      10.3,      54.0,
호주,그림 곶 기준 대기 오염 기지,94954,1997,2010,6,      11.1,      13.2,       8.9,      83.0,
호주,그림 곶 기준 대기 오염 기지,94954,1997,2010,7,      10.4,      12.6,       8.2,     105.0,
호주,그림 곶 기준 대기 오염 기지,94954,1997,2010,8,      10.6,      12.8,       8.4,     100.0,
호주,그림 곶 기준 대기 오염 기지,94954,1997,2010,9,      11.1,      13.5,       8.7,      74.0,
호주,그림 곶 기준 대기 오염 기지,94954,1997,2010,10,      11.9,      14.3,       9.2,      60.0,
호주,그림 곶 기준 대기 오염 기지,94954,1997,2010,11,      13.5,      16.2,      10.7,      49.0,
호주,그림 곶 기준 대기 오염 기지,94954,1997,2010,12,      14.7,      17.4,      11.9,      46.0,
인도네시아,까리앙엣,96973,1995,2001,5,      27.8,      31.7,      24.6,,     229.0
인도네시아,까리앙엣,96973,1995,2008,4,      28.1,      30.0,       4.2,,     234.0
인도네시아,까리앙엣,96973,1995,2008,5,      28.3,      31.1,      24.6,,     264.0
인도네시아,까리앙엣,96973,1995,2008,6,      28.0,      30.7,      24.4,,     261.0
인도네시아,까리앙엣,96973,1995,2008,9,      28.8,      31.3,      25.2,       5.0,     290.0
인도네시아,까리앙엣,96973,1995,2008,11,      28.7,      31.4,      25.2,,     173.0
인도네시아,까리앙엣,96973,1995,2009,1,      27.9,      30.8,      24.1,,     156.0
인도네시아,까리앙엣,96973,1995,2009,2,      27.6,      30.6,      24.2,,     236.0
인도네시아,까리앙엣,96973,1995,2009,3,      27.6,      32.0,      24.3,,     184.0
인도네시아,까리앙엣,96973,1995,2009,5,      28.1,      30.9,      24.3,,     236.0
인도네시아,까리앙엣,96973,1995,2009,7,      28.9,      30.6,      24.3,,     268.0
인도네시아,까리앙엣,96973,1995,2009,8,      29.1,      30.9,      24.6,,     283.0
인도네시아,까리앙엣,96973,1995,2009,9,      28.1,      31.3,      24.6,,
인도네시아,까리앙엣,96973,1995,2009,11,      28.3,      32.1,      24.8,,     285.0
인도네시아,까리앙엣,96973,1995,2009,12,      28.9,      31.6,      24.7,,     283.0
인도네시아,까리앙엣,96973,1995,2010,1,      28.4,      30.9,      24.4,,     286.0
인도네시아,까리앙엣,96973,1995,2010,2,      28.1,      31.1,      24.2,,     280.0
인도네시아,까리앙엣,96973,1995,2010,3,      28.4,      30.8,      23.7,,     279.0
인도네시아,까리앙엣,96973,1995,2010,4,      28.1,      30.6,      24.0,,     276.0
인도네시아,까리앙엣,96973,1995,2010,6,      27.2,      31.2,      24.9,      57.0,     242.0
인도네시아,까리앙엣,96973,1995,2010,7,      28.4,      30.1,      24.7,,     257.0
인도네시아,까리앙엣,96973,1995,2010,8,      28.2,      30.4,      24.7,,     253.0
인도네시아,나비레,97682,2000,2000,1,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,2,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,3,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,4,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,5,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,6,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,7,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,8,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,9,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,10,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,11,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,12,       0.0,       0.0,       0.0,       0.0,       0.0
호주,누리우파 비티컬터랄,94681,1997,2010,1,      22.2,      30.0,      14.5,      18.0,     336.0
호주,누리우파 비티컬터랄,94681,1997,2010,2,      22.0,      29.7,      14.6,      20.0,     284.0
호주,누리우파 비티컬터랄,94681,1997,2010,3,      19.1,      26.0,      11.6,      26.0,     275.0
호주,누리우파 비티컬터랄,94681,1997,2010,4,      15.5,      21.8,       9.0,      36.0,     227.0
호주,누리우파 비티컬터랄,94681,1997,2010,5,      12.1,      17.4,       6.8,      47.0,     175.0
호주,누리우파 비티컬터랄,94681,1997,2010,6,       9.8,      14.0,       5.1,      56.0,     150.0
